,aaNotionColumn,mmd-vae,beta-vae,ae-model
0,aaNotionValue_0,<s>Traits forfeishing in toing not in to to to by being in au in in was was noting in to in when to to Rebecca di didnne has the ending to being ownership in the Juan Juan is hasu has been voted Elizabeth has Peter has to the the the Kenne to the the</s></s></s>,"<s>By. Daily Mail Reporter. PUBLISHED:. 03:17 EST, 15 May 2013. |. UPDATED:. 07:39 EST, 15 May 2013. The birth of new triplets could be nearly as distant as every year after the man who lit the world's largest firework died</s> Angel</s>","<s>sim not then that that another but not. one of that who said the country's which which when with a period's which when. time. as a., which who which have have a time�z's. when�ies for a series' by.. that.'s. an-- has</s></s></s>"
1,aaNotionValue_1,<s>By and and and and and Rick and. combined.. Shane Shane Shane.'s Sunday Thursday. Wednesday Thursday Wednesday. Monday Monday Wednesday. Sunday Thursday Wednesday Wednesday Thursday. Mick.. Tom. He Foley.. Wednesday. Wednesday. Duffy. Tony.. Friday has has...</s>. Rey has</s></s></s>,"<s>By. Leon Watson. PUBLISHED:. 07:49 EST, 15 July 2013. |. UPDATED:. 11:21 EST, 15 July 2013. One of the world's biggest supermarket chains, Nando's, unveiled on Monday its logo with just 25 smiling customers and a whole front</s>.</s>","<s>A220.220IT:. C::. $--245, positive-cent. fat, t is. You, fat is at at, A is leader is the president to leader at at at a--------ter. A-co's has sits a at</s></s></s>"
2,aaNotionValue_2,"<s> monthsil,,,il-,il,il-il----az,ilil,il,ililacheache-ilil world (:: (:----to::, to to for to:.:,,..- in to.-</s></s></s></s>","<s>(CNN)  -- Ten Turkish people held by al Qaeda were released Tuesday, a day after activists accused the militants of ""engaging in violent crimes against our people"" -- and raising fears of a new crackdown on the government. ""The human trafficking demands a minimum as high as 15 grams of cocaine."" ""</s></s></s>",<s>kekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekeke</s>
3,aaNotionValue_3,"<s>LLE David David "" -- AL D """" ""2 that as a David would could would take alers he if as he had had had a a having had that a had'd an a a. an had made an an.. an. the that the had.. a.. had a.</s></s></s>","<s>By. Sam Webb. A kangaroo who lived in a Siberian zoo for more than two decades has been released from the Siberian. curator who tweeted she was 'Taken' by. ""Used the propane tank' which Ms Smith had been flying in. the zoo has been renamed Lake Kemsatyr</s></s></s>","<s>WASHINGTON (CNN)))))))))))) (10) 1) in Mayon 1 of the20). 9:4 of the 2010. Duringon 710. critical on of others to others. Whileues encouraged on the leaders in the efforts of the others, last</s> The</s>"
4,aaNotionValue_4,"<s> In-�-es,As-ysys--giesys)--igys:,. and-ies�,-ies), – and, and?.,,, and-w-�, and�.</s>,� and and.,�,,, and</s></s></s>","<s>LONDON, England (CNN) -- If any question about climate change shifts into the real world, just look at the prices of green milk. U.S. dairy cows cross the border in a livestock farm in Manitoba, Canada. How green milk prices change on the spot can only be described as generous.</s></s></s>","<s>GR,SW,SW,BR-KN, to to-evev approved,, police as:,, all to to of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;</s></s></s>"
5,aaNotionValue_5,"<s> Aviation outside his association's's has his AW268 membership membership approval's attached to his head-union that regards his head-fire his holiday of the his title to)-free approval to-out his-owned anowned''���ari.US.his: holiday.IGHTS-owned,</s></s></s>","<s>(CNN) -- Rolling Stone magazine is offering to the editor of Rolling Stone its confidential conversations with NSA leaker Edward Snowden that were broadcast by a former CIA officer. The video was apparently from the summer of 2010, when Snowden was to pick up the phone from his nanny, who was calling to take him</s></s></s>",<s>CLIAED KarlOGEE HARTENHOGERS FOR CECKE FEDENEHEYE FOR CCHCHCHEE for:: IANEER JUH ( for ICHSCHE. she has offered to to being for the three that they have</s></s></s>
6,aaNotionValue_6,<s>(gewew---the--t/-thethe-mmm. business-ains the links... service service.............. service......... service......</s></s></s></s>,"<s>By. Mark Duell. PUBLISHED:. 11:12 EST, 15 August 2013. |. UPDATED:. 11:17 EST, 15 August 2013. A shopper faces involuntary manslaughter charges over the death of a 19-year-old nurse whose sub-continent cut off her</s> '</s>",<s>By#aminaminte. -- 15). more to to about. Aad continues continue to thinking. A To. In Ato Report. A Name-Ccusion. Aika. A tellsntto. A)Mika. A***.tad. Cricacyeayed.].</s>
7,aaNotionValue_7,"<s>TheousousousousThe andous and has the,a has for to the theaous and has and the to and Maa the thes the, over the to, the a, on Saturday on earlier during several groups, on days to while on attacks, against on groups on, verses to</s></s></s>","<s>(CNN) -- At the crossroads of European and American politics, Egypt's alleged financial fraud is a source of intrigue for investors, analysts and opposition lawmakers alike. Sajida ElBaradei said it is ""a question that lies in the depths of the present crisis and now lies with every person who</s></s></s>","<s> Alto. Reading,, and.</s>ow, the andow, of the place of the and """","" of of itself,... "". --,.. .�..</s>...�,,... Its,,.</s>,, The.</s></s></s></s></s>"
8,aaNotionValue_8,<s>(ingiana)'ni (ani)). (13)))))inging. (())))(( ())((.)( (())..)That. that...ThatThat That. that. that that. that..</s></s></s>,"<s>By. Daily Mail Reporter. PUBLISHED:. 03:38 EST, 4 August 2012. |. UPDATED:. 14:10 EST, 5 August 2012. The vice principal of TransCanada’s passenger rail line said he would be investigating a possible link to the dramatic increase in the</s>.</s>","<s>Uill ( ( ( (win ( ($ ($ ($ ($ (R--/( (69) 8) ((Uuary) (win, 72:- Wilson) their relative name. he-man (Theuary) he is new to the the – Friday. the theman. they announced</s></s></s>"
9,aaNotionValue_9,"<s>..  Is. Is...,?.., Is...................,.,.. ...... Take.. Okay Take. Love. It Is. Love. For.</s></s></s>","<s>By. Rachel Quigley. PUBLISHED:. 08:42 EST, 11 July 2012. |. UPDATED:. 10:50 EST, 11 July 2012. Syrian villagers rescued a street cleaner from a house and she used a weapon to trap her assailant in an alley so she could escape</s>:</s>",<s> lastyawn hasouted alacedaced on a spot and of a button and andied five and and sixemiedied five.ies said.ies said.our said.ied five.ies.ied itiesied some of five-iesies. It said in certain that certain publicies that</s></s></s>
